1863,Tuesday Series 1,Puppeteers,/reshyc/2023/club/series1_tuepupscr.htm
1861,Tuesday Series 1,Squibs,/reshyc/2023/club/series1_tuesquibscr.htm
1867,Wednesday Series 1,Class 1,/reshyc/2023/club/series1_class1.htm
1868,Wednesday Series 1,Class 2/3,/reshyc/2023/club/series1_class2.htm
1869,Wednesday Series 1,White Sails,/reshyc/2023/club/series1_whitesails.htm
1865,Tues & Sat 17's Series 1,17's SCR,/reshyc/2023/club/series1_tuesat17scr.htm
1866,Tues & Sat 17's Series 1,17's HPH,/reshyc/2023/club/series1_tuesat17hph.htm
1871,Dinghy - Thursdays,Optimist Fleet,/reshyc/2023/club/dinghy_oppie.htm
1872,Dinghy - Thursdays,ILCA Fleet,/reshyc/2023/club/dinghy_ilca.htm
1873,Dinghy - Thursdays,PY Fleet,/reshyc/2023/club/dinghy_py.htm
1874,Saturday Series 1,Squibs,/reshyc/2023/club/series1_satsquibs.htm
1875,Saturday Series 1,Puppeteers,/reshyc/2023/club/series1_satpups.htm
1876,Saturday Series 1,Cruisers,/reshyc/2023/club/series1_satcruisers.htm
